month,zipcode,avg_response_hours
2024-05,11221,501.11
2024-05,11222,384.83
2024-05,11223,260.94
2024-05,11224,296.43
2024-05,11225,358.68
2024-05,11226,288.66
2024-05,11228,460.04
2024-05,11229,568.04
2024-05,11230,435.93
2024-05,11231,380.15
2024-05,11232,277.84
2024-05,11233,501.91
2024-05,11234,557.85
2024-05,11235,386.67
2024-05,11236,390.87
2024-05,11237,297.39
2024-05,11238,442.14
2024-05,11239,58.06
2024-05,11241,2507.52
2024-05,11242,505.42
2024-05,11249,501.09
2024-05,11251,0.74
2024-05,11354,416.94
2024-05,11355,360.27
2024-05,11356,270.06
2024-05,11357,395.69
2024-05,11358,498.4
2024-05,11359,179.12
2024-05,11360,306.24
2024-05,11361,385.05
2024-05,11362,698.2
2024-05,11363,774.13
2024-05,11364,356.44
2024-05,11365,393.37
2024-05,11366,232.04
2024-05,11367,326.57
2024-05,11368,200.74
2024-05,11369,371.56
2024-05,11370,365.81
